"loc_adm_2	",,,,nps2015,nps2016
"31163	8.75	8.625",,,,,
"38097	8.94118	7.79167",,,,,
"39023	9	6.66667",,,,,
"17191	8.52632	8.52632",,,,,
"51047	4	9",,,,,
"36107	5.5	8",,,,,
"08069	6	7.66667",,,,,
"17161	8.88889	7.14286",,,,,
"29117	9	8.54545",,,,,
"31149	5	9",,,,,
"40047	8.5	5.4",,,,,
"55073	7.4	7.14286",,,,,
"31103	5	8",,,,,
"17189	8.78947	8.5",,,,,
"17065	8.4	8.64286",,,,,
"26133	10	6",,,,,
"27119	7.11111	7.93548",,,,,
"27025	8.5	7.8",,,,,
"17183	8.10345	8.08333",,,,,
"29103	8.5	7.5",,,,,
"26067	8	7.83333",,,,,
"20085	6.33333	9",,,,,
"20161	9	8",,,,,
"17071	8	10",,,,,
"17107	7.92593	8.53846",,,,,
"42085	7.63636	8.75",,,,,
"46127	8.05263	9.28571",,,,,
"26107	10	7.75",,,,,
"39033	8	8.70588",,,,,
"21101	8.5	7.4",,,,,
"27167	8.375	9.83333",,,,,
"22035	6.5	8.5",,,,,
"47051	8	10",,,,,
"17025	6.875	8.6",,,,,
"27047	8.10526	7.65385",,,,,
"47075	8.5	8",,,,,
"42061	8.8	6.8",,,,,
"29223	8	8",,,,,
"42079	9	7.66667",,,,,
"13093	10	10",,,,,
"19037	7.04348	8.11364",,,,,
"19043	8.53333	7.40625",,,,,
"22009	9	8.8",,,,,
"26149	8.6	8.85",,,,,
"21217	8	10",,,,,
"29045	8.8	9",,,,,
"29041	8	8.83333",,,,,
"29207	8.28571	9",,,,,
"51015	9.5	9",,,,,
"05003	9	8.6",,,,,
"20205	8.2	8.44444",,,,,
"27115	7.8	9.2",,,,,
"37013	8	9.44444",,,,,
"39007	8.11111	9.07692",,,,,
"17113	7.94828	7.93443",,,,,
"38095	8.5	7.83333",,,,,
"27149	8.30769	8.83784",,,,,
"18033	6.16667	8.25",,,,,
"18179	7.5	8.85714",,,,,
"18177	9	8.16667",,,,,
"36029	5.5	9.85714",,,,,
"18047	7.83333	7.85714",,,,,
"19175	6.83333	7",,,,,
"46087	7.25	7.53125",,,,,
"38059	8	9",,,,,
"42063	7	9",,,,,
"39165	10	9",,,,,
"31137	9.66667	9.2",,,,,
"31169	8.6	8.53846",,,,,
"42043	8.8	9.6",,,,,
"20091	8.75	5",,,,,
"18017	7.92308	8.85",,,,,
"55001	6.6	9.66667",,,,,
"46115	8.73913	8.54098",,,,,
"17169	8.71429	7.14286",,,,,
"48111	3.5	7.66667",,,,,
"18163	7.33333	9.33333",,,,,
"19073	7.92308	7.85185",,,,,
"38005	7.9	8.5",,,,,
"06025	8	8",,,,,
"46043	8	7.82353",,,,,
"37001	9	3",,,,,
"19065	8.13793	8.22414",,,,,
"18065	7.16667	7.66667",,,,,
"29023	8.83333	7.6",,,,,
"26045	8.8	8.5",,,,,
"42009	8.23077	8.41667",,,,,
"20151	7.42857	5",,,,,
"21123	8.75	8.5",,,,,
"05107	9.21429	9.71429",,,,,
"55141	8.85714	7.44444",,,,,
"37163	9	8.8",,,,,
"06039	8	8",,,,,
"46029	8.9375	8.66667",,,,,
"40115	8	6",,,,,
"39097	7.57143	8.75",,,,,
"20131	8.4375	7.75862",,,,,
"21027	9.08333	9.44444",,,,,
"19039	9	6.8125",,,,,
"27019	9.125	7.27273",,,,,
"37191	8.81818	8.55556",,,,,
"45061	10	8",,,,,
"18071	8.92308	9.08333",,,,,
"08123	8.47059	8.28571",,,,,
"21059	8.75	9.5",,,,,
"42029	8.66667	9.33333",,,,,
"18113	5.5	9",,,,,
"17011	7.8125	8.97222",,,,,
"18143	5	8",,,,,
"31159	7.88889	8",,,,,
"19055	9.41176	8.48148",,,,,
"31023	8.61111	7.84848",,,,,
"28017	10	8.6",,,,,
"55081	7.5	8.33333",,,,,
"47157	5	6.75",,,,,
"04021	0	7.75",,,,,
"42019	9.33333	10",,,,,
"46005	8.95833	8.27397",,,,,
"17153	7.5	7.75",,,,,
"29195	8.1	9.72727",,,,,
"29111	8.57143	9.6",,,,,
"28151	9.57143	9.33333",,,,,
"17163	7.19048	6.5",,,,,
"01103	8	7",,,,,
"01033	9.8	10",,,,,
"29147	8.7	7.86842",,,,,
"56015	7.66667	5.66667",,,,,
"48491	9	10",,,,,
"38003	7.77778	8.07692",,,,,
"21233	8	10",,,,,
"19149	8.80769	8.71186",,,,,
"26021	8.45455	7.88889",,,,,
"46077	8.13636	8",,,,,
"42091	8	8",,,,,
"55071	8.57143	6.76471",,,,,
"36089	5	8.5",,,,,
"39039	9.45455	8.625",,,,,
"36117	9	8",,,,,
"26077	9.25	9.33333",,,,,
"38001	5	8.66667",,,,,
"40139	9.5	8.2",,,,,
"29113	8.44444	8.8",,,,,
"38039	8.66667	8.33333",,,,,
"18031	8.71429	7.47826",,,,,
"31057	9	8.33333",,,,,
"17049	8.4	8.91089",,,,,
"29109	8.66667	4.66667",,,,,
"39001	8.66667	8.8",,,,,
"24029	8.33333	9.33333",,,,,
"19083	7.5	7.95652",,,,,
"38081	8.46667	8",,,,,
"20105	7.5	8",,,,,
"17135	8.56	8.51724",,,,,
"42021	8.5	9",,,,,
"39003	8.5	8.23077",,,,,
"39109	7.53333	8",,,,,
"51810	9	9",,,,,
"21017	10	10",,,,,
"05095	7.5	8.91667",,,,,
"19195	8.26667	8.63636",,,,,
"37061	9.15	9",,,,,
"29039	8.33333	8",,,,,
"05017	9.2	10",,,,,
"17097	10	10",,,,,
"39135	8.33333	6.5",,,,,
"20123	7.33333	9.3",,,,,
"47119	7.6	7.5",,,,,
"27093	8.03846	8.48485",,,,,
"31087	8	7",,,,,
"05121	8	7",,,,,
"20159	9.2	8",,,,,
"27083	7.95238	8.11111",,,,,
"17043	8.5	8.5",,,,,
"39157	8.33333	9.33333",,,,,
"55055	8.9375	7.68",,,,,
"26059	8.61538	9.08333",,,,,
"26155	8.5	8.4",,,,,
"21179	8.33333	8.16667",,,,,
"26121	9	10",,,,,
"18087	8	8.8",,,,,
"19159	5.33333	9",,,,,
"18135	8.66667	9.875",,,,,
"55101	8	8.33333",,,,,
"21083	8.14286	9.57143",,,,,
"39133	7.33333	7.75",,,,,
"26139	9	7.95",,,,,
"38049	8.2	7.9",,,,,
"26161	8.46154	8.5",,,,,
"19147	8.53333	8.84848",,,,,
"38055	8.25	7.875",,,,,
"31167	7.16667	8.06667",,,,,
"19191	8.46939	8.36842",,,,,
"26063	8.13333	8.61538",,,,,
"17125	8.53846	7.94444",,,,,
"17053	8.8125	7.76471",,,,,
"29097	6.5	8.57143",,,,,
"21093	9.4	8.33333",,,,,
"40039	8	10",,,,,
"20021	8.5	8.75",,,,,
"19111	6.33333	9",,,,,
"05111	8.09091	9",,,,,
"38015	7.625	8.78947",,,,,
"01083	8.66667	9.33333",,,,,
"48421	9.25	7.75",,,,,
"31017	8	7",,,,,
"20119	7.5	8.5",,,,,
"46067	8.14286	8.84848",,,,,
"19151	7.80645	7.69231",,,,,
"27051	9	7.81818",,,,,
"04003	7.66667	10",,,,,
"28011	8.6	8.8",,,,,
"31173	9	8.33333",,,,,
"26015	4.875	8.90909",,,,,
"42013	8.25	8.69231",,,,,
"27095	7.8	7.71429",,,,,
"46019	8	5",,,,,
"19079	8.6	8.85714",,,,,
"20003	7.66667	9",,,,,
"31093	8.14286	8.57143",,,,,
"29027	7	8",,,,,
"46083	6.25	7.23529",,,,,
"55059	5	8.4",,,,,
"28107	9.5	9.2",,,,,
"20193	10	8.875",,,,,
"48357	4.5	10",,,,,
"17197	9.08	8.66667",,,,,
"21145	9.2	9.5",,,,,
"55083	5.5	5",,,,,
"29165	9	9.11111",,,,,
"19123	7.47368	8.20833",,,,,
"08099	8	8.66667",,,,,
"18037	8.10526	8.47619",,,,,
"19177	7.28571	9.125",,,,,
"13195	9.33333	8",,,,,
"55045	8.14286	8.125",,,,,
"19157	7.84211	7.11111",,,,,
"28133	8.66667	10",,,,,
"19087	8.25	8.875",,,,,
"36069	10	7.625",,,,,
"26027	7.5	9.44444",,,,,
"48027	9.6	8.16667",,,,,
"39107	8.625	8.2",,,,,
"37101	10	8.14286",,,,,
"29003	9	7",,,,,
"17105	8.17544	8.51282",,,,,
"42109	8.5	9.30769",,,,,
"46003	8.25	9",,,,,
"18159	9.66667	8.25",,,,,
"27117	8.66667	8.22222",,,,,
"17007	7.72727	7.33333",,,,,
"48481	9	7",,,,,
"51131	6	9",,,,,
"27127	8.17188	8.66142",,,,,
"19099	8.25	8.33333",,,,,
"26065	8.83333	9.6",,,,,
"37145	10	10",,,,,
"17081	7.66667	7.83333",,,,,
"17151	8	9",,,,,
"05021	7.8	8",,,,,
"42041	7.875	9.16667",,,,,
"48117	9.75	5",,,,,
"38051	7.18182	7.2",,,,,
"42111	8	8.54545",,,,,
"27007	10	8",,,,,
"31125	10	7",,,,,
"55087	8	7.81818",,,,,
"18099	9.08696	8.4375",,,,,
"51053	7.5	8",,,,,
"22123	9.6	8.88889",,,,,
"05093	8.2	7.78947",,,,,
"38063	8.375	7.75",,,,,
"39045	9	9.88889",,,,,
"19009	7.45455	7.52632",,,,,
"24035	9.33333	9",,,,,
"36043	9	8",,,,,
"37155	8	8.78571",,,,,
"21199	0	9.55556",,,,,
"31175	8.875	8.66667",,,,,
"45075	9	10",,,,,
"46021	9.2	8",,,,,
"18137	8.44444	9",,,,,
"18125	8.14286	10",,,,,
"20155	7.14286	4.42857",,,,,
"27059	6.57143	8",,,,,
"55103	8.5	8.25",,,,,
"19011	8.55	7.7619",,,,,
"38037	6.66667	8.8",,,,,
"27125	6.75	8",,,,,
"19085	8.08333	7.63636",,,,,
"17089	8.375	8.24",,,,,
"27087	7	8.2",,,,,
"55043	8.62963	8.10417",,,,,
"55047	7.77778	8.3",,,,,
"26123	8.5	6.75",,,,,
"17175	8.78947	8.11111",,,,,
"39113	8	7.4",,,,,
"31179	8.28571	8.2",,,,,
"31119	8.10526	8.54167",,,,,
"30111	10	7.4",,,,,
"20005	5	6.66667",,,,,
"42129	10	5",,,,,
"31133	8	9",,,,,
"46037	8.13636	8.31429",,,,,
"17093	8.77778	9.42857",,,,,
"19029	8.41176	8.45833",,,,,
"18153	8.28571	8.83333",,,,,
"37171	7.33333	5",,,,,
"46091	8.90909	8.86957",,,,,
"13251	7.5	8.2",,,,,
"47099	8.85714	9",,,,,
"48331	9	9.2",,,,,
"27129	8.07692	8.22549",,,,,
"17157	8.63158	8.6875",,,,,
"17047	9.5	9",,,,,
"55021	8.1875	8.54545",,,,,
"26099	9	9",,,,,
"55077	8	8",,,,,
"29127	8.5	9",,,,,
"39065	10	8",,,,,
"27109	8.66667	7.30303",,,,,
"55091	6.66667	9.125",,,,,
"27045	7.87097	8.6",,,,,
"55107	8	7.16667",,,,,
"39011	8	8.44444",,,,,
"17147	8.26667	9.09091",,,,,
"06047	9	6",,,,,
"27005	7.16667	7.75",,,,,
"12063	8	10",,,,,
"29011	7.4	8.3125",,,,,
"17057	8.27273	7.94737",,,,,
"19113	8.11111	8.36842",,,,,
"46023	8	8.19231",,,,,
"46069	9.25	8.5",,,,,
"26075	8.45455	8",,,,,
"40117	10	9",,,,,
"19003	8.66667	9.18182",,,,,
"17117	8.42857	8.34286",,,,,
"27133	8.29032	8.1",,,,,
"39095	7.5	9",,,,,
"19023	7.58065	8.15152",,,,,
"46039	8.36667	8.025",,,,,
"05073	10	10",,,,,
"17039	8.33333	8.875",,,,,
"28057	3	8",,,,,
"18161	8	8.2",,,,,
"19069	8.6	8.4",,,,,
"18067	9.25	9",,,,,
"39155	8.75	8.14286",,,,,
"18055	8.25	9.125",,,,,
"26093	10	7.54545",,,,,
"20111	8	8.57143",,,,,
"47069	8	9",,,,,
"40003	8.2	9.5",,,,,
"06067	9.66667	9.66667",,,,,
"51193	10	8.66667",,,,,
"39029	8	4",,,,,
"48145	8.625	5.66667",,,,,
"29121	8.66667	8.375",,,,,
"38021	6.42857	7.5",,,,,
"22067	8	9.33333",,,,,
"40101	10	10",,,,,
"17201	7.66667	9.16667",,,,,
"08063	8.66667	6.66667",,,,,
"55123	8.5	9.66667",,,,,
"28145	9.5	9.42857",,,,,
"19167	8.10145	8.04464",,,,,
"17129	8.33333	8.8",,,,,
"56031	9.33333	7",,,,,
"55039	7.88889	8.58974",,,,,
"08075	7	6.28571",,,,,
"31059	8.5	7.54545",,,,,
"19119	7.54054	7.55102",,,,,
"19183	8.85714	8.8",,,,,
"29185	7.33333	9",,,,,
"29163	8.57143	9.16667",,,,,
"18035	10	9",,,,,
"37179	8.33333	8",,,,,
"46097	8.33333	8.25",,,,,
"42073	8.75	9.18182",,,,,
"20167	9	8",,,,,
"29211	5	6",,,,,
"18081	5	7.5",,,,,
"51159	8	8.33333",,,,,
"19077	8.1	7.6",,,,,
"08087	8.2	5",,,,,
"46123	8.16667	8.77778",,,,,
"47167	9	9.33333",,,,,
"31157	8.2	8.92",,,,,
"31145	8	9",,,,,
"39131	5	10",,,,,
"21039	6	8",,,,,
"31013	7.83333	7.14286",,,,,
"46025	7.6875	7.40909",,,,,
"29083	8.42857	7.14286",,,,,
"17193	8.38462	8.66667",,,,,
"27121	9.17647	8.075",,,,,
"46111	8.86667	7.33333",,,,,
"29217	8.2	9.5",,,,,
"27039	8.4375	7.16667",,,,,
"20141	9	10",,,,,
"19187	8.16	8.1875",,,,,
"29175	7.2	9.33333",,,,,
"42075	8.28571	9",,,,,
"20099	9.2	8.42857",,,,,
"01095	7.5	8.5",,,,,
"18005	9	8.57143",,,,,
"24025	6.66667	7",,,,,
"20191	9.33333	7.30769",,,,,
"39175	7.71429	7.0625",,,,,
"29071	7.33333	8.625",,,,,
"42049	7.375	7.25",,,,,
"20019	8	5",,,,,
"26111	7	9",,,,,
"20117	7.85714	8.31707",,,,,
"24011	7.9	9",,,,,
"31111	8.08333	8.15385",,,,,
"19093	7.85714	8",,,,,
"17111	8.11765	8.63158",,,,,
"17019	8.1	8.1129",,,,,
"45009	7.33333	7.25",,,,,
"47147	10	8",,,,,
"29183	8.75	9",,,,,
"21163	6.33333	10",,,,,
"17033	7.875	8.28571",,,,,
"46007	5	8",,,,,
"18133	8.33333	8.88889",,,,,
"39077	9.09091	7.16667",,,,,
"20079	7.75	8.2",,,,,
"26081	9	8.14286",,,,,
"55049	9.66667	7.5",,,,,
"42055	7.875	8.18182",,,,,
"46045	8.71429	8.66667",,,,,
"51800	8	7.33333",,,,,
"27151	8.41463	8.33333",,,,,
"19089	8.4	7.48148",,,,,
"48069	7.33333	9.2",,,,,
"19139	7.78571	8.34783",,,,,
"51007	5	8.8",,,,,
"37195	9.16667	8.875",,,,,
"18121	8.57143	8.42857",,,,,
"19031	8.58333	7.88889",,,,,
"38061	0	9",,,,,
"27163	4.5	9",,,,,
"17143	8.44	9.09524",,,,,
"17115	8.05556	8.33333",,,,,
"55097	8.66667	8.84211",,,,,
"46051	7.5	7.82051",,,,,
"29007	7.91667	8",,,,,
"17103	7.16667	7.87097",,,,,
"20063	8	7.83333",,,,,
"27033	7.57576	7.76119",,,,,
"51137	9	8",,,,,
"39071	7	7.5",,,,,
"31101	8	6.75",,,,,
"55025	7.86364	8.39394",,,,,
"42099	9	9.63636",,,,,
"27009	9.2	8.875",,,,,
"20137	6.33333	7.89474",,,,,
"27073	8.0303	8",,,,,
"27013	8.6129	8.60976",,,,,
"17059	8.66667	8.15385",,,,,
"20073	8	6.33333",,,,,
"51183	8.33333	6.16667",,,,,
"55131	8.5	7.75",,,,,
"27099	7.47059	8.30435",,,,,
"17063	8.85185	7.93939",,,,,
"46071	8	10",,,,,
"20113	7.58621	8.375",,,,,
"38071	8.22727	8.64286",,,,,
"20089	7.5	9.1",,,,,
"36067	7	8.5",,,,,
"39089	8.5	8.33333",,,,,
"19019	7.72727	8.16",,,,,
"22065	10	10",,,,,
"20163	5	9",,,,,
"48177	10	10",,,,,
"38029	7.21429	8.64516",,,,,
"20125	9	6.33333",,,,,
"31181	8.0625	8.68421",,,,,
"20173	8.1	8.33333",,,,,
"27091	7.26087	7.4",,,,,
"19061	8.57143	8.2",,,,,
"51033	9	8",,,,,
"17131	8.08333	8.33333",,,,,
"19161	8.25	8.25",,,,,
"26127	7	9.5",,,,,
"55005	9	8.90625",,,,,
"29053	8.8	8",,,,,
"46035	8.75	7.9697",,,,,
"17035	8.58333	7.45455",,,,,
"17123	7	9.21739",,,,,
"31039	7.5	8.04651",,,,,
"19121	8.625	8.8",,,,,
"51165	9	8.85714",,,,,
"18015	9.44444	8",,,,,
"46089	8.625	9.1",,,,,
"31099	8.2	8.8",,,,,
"39037	7.77778	7.96154",,,,,
"24021	5.5	9",,,,,
"27037	7.21429	5",,,,,
"46059	8.5	8.66667",,,,,
"47079	8.4	0",,,,,
"19103	7.25	8.625",,,,,
"38045	7.82143	8.71053",,,,,
"29001	9	8",,,,,
"18145	8.75	8.22222",,,,,
"31019	8.66667	8.30769",,,,,
"26005	9.33333	7.5",,,,,
"47185	10	8.16667",,,,,
"26117	9.25	8.34783",,,,,
"01089	9	9.14286",,,,,
"31155	7.85	8.88889",,,,,
"38079	8.42857	7.09091",,,,,
"17027	7.94118	8.06897",,,,,
"38099	7.41667	6.58824",,,,,
"40071	9.25	8.70588",,,,,
"34033	9.22222	10",,,,,
"39151	8.83333	9.25",,,,,
"19153	8.13333	8.55",,,,,
"21007	9.5	7",,,,,
"28027	9.75	8.6",,,,,
"26145	8.07143	9.54545",,,,,
"18063	7.28571	8.30769",,,,,
"31081	8.5	7.7",,,,,
"37049	9	7.88889",,,,,
"36099	7.5	9.125",,,,,
"42037	10	8.16667",,,,,
"28081	10	7.75",,,,,
"10001	9	8.85",,,,,
"46125	8.875	8.17308",,,,,
"18129	6.27273	8.875",,,,,
"27169	7.25	8.63636",,,,,
"55105	8.61111	8.62857",,,,,
"46101	8.77778	7.82609",,,,,
"17159	9.16667	8.4359",,,,,
"26157	7.90909	7.41667",,,,,
"37097	8.2	9.33333",,,,,
"31109	8.08333	8.26923",,,,,
"06031	8.5	8",,,,,
"20179	9	10",,,,,
"55027	8.42857	8.1",,,,,
"17009	9.33333	7.75",,,,,
"26057	8.29412	8.81818",,,,,
"26073	9.22222	6.92308",,,,,
"18027	8.8	8.2",,,,,
"37017	9.5	6.09091",,,,,
"20181	7.75	8.16667",,,,,
"46135	8.27273	8.4",,,,,
"17167	8.90909	8.38636",,,,,
"19053	5	8.66667",,,,,
"34011	8	6.5",,,,,
"46009	8.3	7.52174",,,,,
"20129	8.5	9",,,,,
"38069	8.25	7.15385",,,,,
